,mol_id,smiles,pIC50
1993,CHEMBL166766,Nc1ncnc2c1c(cn2C3CCC3)c4ccccc4,6.14
1994,CHEMBL3233769,Fc1ccc(Nc2ncnc3sc(NC(=O)OCC=C)cc23)cc1Cl,5.75
1995,CHEMBL154080,COC(=O)c1ccc(CNC(=O)CCc2c(SSc3[nH]c4ccccc4c3CCC(=O)NCc5ccc(cc5)C(=O)OC)[nH]c6ccccc26)cc1,4.36
1997,CHEMBL67057,Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc5c(ccn5Cc6ccccc6)c4)c23)C(=O)N7CCOCC7,8.35
1998,CHEMBL299893,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC(O)CN(CCO)CCO,8.3
1999,CHEMBL215786,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC4CCN(C)CC4,7.75
2001,CHEMBL77243,CCCCc1cc(\C=C(/C#N)\C(=O)N)cc(CCCC)c1O,4.26
2002,CHEMBL57758,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN4CCCC4,7.06
2003,CHEMBL266995,Oc1cc(O)c2c(O)c(cnc2c1)c3cccc(Cl)c3,8.1
2004,CHEMBL250523,COc1cc2ncnc(C#CCOc3ccccc3)c2cc1OC,7.82
2005,CHEMBL65848,Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc5CCCc5c4)c23)C(=O)N6CCOCC6,5.37
2006,CHEMBL1630118,ONC(=O)c1ccc(s1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2,8.66
2007,CHEMBL264382,Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc5c(ccn5Cc6ccccc6)c4)c23)C(=O)NCCN7CCOCC7,5.71
2008,CHEMBL314146,CCc1ccc(\C=C\2/C(=O)Nc3ccccc23)s1,4.36
2009,CHEMBL345294,Brc1cccc(Nc2ncnc3ccsc23)c1,7.96
2010,CHEMBL155278,Cc1cccc(Nc2ncnc3c4cc(N)ccc4sc23)c1,8.68
2011,CHEMBL65250,COc1cc2ncnc(Nc3ccc(F)c(c3)C#C)c2cc1OC,8.4
2012,CHEMBL357097,C(Nc1[nH]cnc2c3ccccc3nc12)c4ccccc4,6.34
2013,CHEMBL346863,CO.Brc1cccc(Nc2ncnc3c4scnc4sc23)c1,7.4
2014,CHEMBL448730,CCN(CC)CCn1c2ccccc2c3c(Nc4cccc(Br)c4)ncnc13,5.39
2015,CHEMBL355891,COC(=O)CN1CCC(C1)n2cc(c3cccc(OC)c3)c4c(N)ncnc24,6.08
2016,CHEMBL329672,Clc1cccc(Nc2ncnc3ccccc23)c1,7.64
2017,CHEMBL247512,CC(=O)NC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc6cccc(F)c6)c4)c23)CC1,6.42
2018,CHEMBL352954,Nc1ncnc2c1c(cn2C3CCCC3)c4ccccc4,6.3
2019,CHEMBL540590,Cl.[O-][N+](=O)c1ccc2c(c1)sc3c(Nc4cccc(Br)c4)ncnc23,7.32
2020,CHEMBL3114688,O=C(\C=C\CN1CCCCC1)N2CCOc3cc4ncnc(Nc5cccc(c5)C#C)c4cc23,7.38
2022,CHEMBL484270,CCN1CCN(Cc2ccc(cc2)c3cc4c(N[C@@H](C)c5ccccc5)ncnc4[nH]3)CC1,7.4
2023,CHEMBL2347962,CN(C)CCCCCC(=O)Nc1cccc(c1)c2c(oc3ncnc(N[C@H](CO)c4ccccc4)c23)c5ccccc5,5.36
2024,CHEMBL2347960,CN(C)CCCC(=O)Nc1cccc(c1)c2c(oc3ncnc(N[C@H](CO)c4ccccc4)c23)c5ccccc5,7.54
2025,CHEMBL2347965,CC(=O)Nc1cccc(c1)c2c(oc3ncnc(N[C@H](CO)c4ccccc4)c23)c5ccccc5,6.66
2026,CHEMBL2347969,OC[C@@H](Nc1ncnc2oc(c(Br)c12)c3ccccc3)c4ccccc4,6.34
2029,CHEMBL2325088,C1C(N(N=C1c2ccccc2)c3ccccc3)c4cccc5ccccc45,5.6
2030,CHEMBL3114688,O=C(\C=C\CN1CCCCC1)N2CCOc3cc4ncnc(Nc5cccc(c5)C#C)c4cc23,8.4
2031,CHEMBL3114687,CCN(CC)C\C=C\C(=O)N1CCOc2cc3ncnc(Nc4cccc(c4)C#C)c3cc12,8.3
2032,CHEMBL553,COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC,5.92
2033,CHEMBL27685,Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Br,8.74
2034,CHEMBL31630,CN(C(=O)C=C)c1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN4CCOCC4,7.7
2035,CHEMBL116012,CCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1NC(=O)\C=C\CN4CCOCC4,4.99
2036,CHEMBL39337,Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,7.7
2037,CHEMBL1630112,Nc1ccccc1NC(=O)c2ccc(s2)c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4c3,8.55
2038,CHEMBL2335376,Nc1nc(Nc2cccc(Br)c2)c3cc(CCc4ccccn4)[nH]c3n1,6.52
2040,CHEMBL497459,CN(C)\N=C\c1c(N)ncnc1Nc2ccc3c(cnn3Cc4cccc(F)c4)c2,8.1
2041,CHEMBL121190,Nc1[nH]cnc2nnc(Nc3cccc(Cl)c3)c12,4.46
2042,CHEMBL480356,Cc1[nH]c(\C=C\2/C(=O)Nc3ccc(cc23)C(=O)NNc4ccccc4)c(C)c1CCC(=O)O,5.46
2043,CHEMBL122068,Nc1nc(N)c2c(Nc3cccc(Cl)c3)[nH]nc2n1,5.05
2044,CHEMBL333231,Clc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,5.82
2045,CHEMBL117710,Brc1cccc(Oc2ncnc3ccccc23)c1,6.12
2046,CHEMBL265367,Cn1ccnc1S(=O)(=O)CCNCc2oc(cc2)c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(c5)C(F)(F)F)c4c3,7.77
2047,CHEMBL53690,FC(F)(F)c1cccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)c1,8.35
2048,CHEMBL424853,Fc1ccc2Oc3ncnc(Nc4ccc(F)c(Cl)c4)c3NCc2c1,6.0
2049,CHEMBL383444,COc1ccc2Oc3ncnc(Nc4cccc(Br)c4)c3NCc2c1,5.51
2050,CHEMBL383121,COc1ccc2Oc3ncnc(Nc4ccccc4)c3NCc2c1,5.12
2051,CHEMBL206320,Fc1ccc2Oc3ncnc(Nc4cccc(c4)c5ccccc5)c3NCc2c1,5.0
2052,CHEMBL426124,COc1ccc2Oc3ncnc(Nc4ccc(F)c(Cl)c4)c3NCc2c1,5.62
2053,CHEMBL205676,Fc1ccc(Nc2ncnc3Oc4ccc(Cl)cc4CNc23)cc1Cl,5.37
2054,CHEMBL51853,Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.89
2055,CHEMBL297968,Cc1cccc(Nc2ncnc3cc(NC(=O)C=C)ccc23)c1,7.05
2056,CHEMBL345641,O=C(Nc1ccccc1)c2c(SSc3[nH]c4ccccc4c3C(=O)Nc5ccccc5)[nH]c6ccccc26,4.0
2057,CHEMBL291701,Fc1ccc2c(Nc3cccc(Br)c3)ncnc2n1,6.17
2058,CHEMBL2018757,CCCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1C,6.05
2059,CHEMBL214487,CC(C)S(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2,7.75
2060,CHEMBL380247,CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(Cl)c4)c3c2,7.75
2061,CHEMBL214631,COc1cc2ncnc(Nc3cc(Cl)ccc3F)c2cc1OC4CCN(C)CC4,6.97
2062,CHEMBL215973,COc1cc2CNc3c(Nc4ccc5ccccc5c4)ncnc3Oc2cc1OC,5.64
2063,CHEMBL1645466,NC1CCN(Cc2ccn3ncnc(Nc4cccc(c4)C#C)c23)CC1,8.0
2064,CHEMBL383614,Brc1cccc(Nc2ncnc3Oc4ccc(Br)cc4CNc23)c1,5.14
2065,CHEMBL176891,CN(C)CCn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc12,8.88
2066,CHEMBL312451,C[C@@H](NC(=O)c1ccc(cc1)S(=O)(=O)Oc2ccc(\C=C\[N+](=O)[O-])cc2)C(=O)N[C@H](C)C(=O)OC(C)(C)C,4.4
2067,CHEMBL1914669,C[C@@H](Nc1ncnc2[nH]c(cc12)c3ccc(Br)cc3)c4ccccc4,7.2
2068,CHEMBL1914670,C[C@@H](Nc1ncnc2[nH]c(cc12)c3ccc(cc3)C#N)c4ccccc4,7.92
2069,CHEMBL78206,CC(C)(C)NC(=O)c1ccc(cc1)S(=O)(=O)Oc2ccc(\C=C\[N+](=O)[O-])cc2,5.89
2070,CHEMBL1630113,Nc1ccccc1NC(=O)\C=C\c2oc(cc2)c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4c3,7.58
2071,CHEMBL139095,Brc1cccc(Nc2ncnc3cnc(NS(=O)(=O)C=C)cc23)c1,8.62
2073,CHEMBL336264,Brc1cccc(Nc2ncnc3cnc(cc23)S(=O)(=O)C=C)c1,9.37
2074,CHEMBL104779,CN1C(=O)C(=Cc2cnc(Nc3ccncc3)nc12)c4c(Cl)cccc4Cl,6.04
2075,CHEMBL113023,COc1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1C,6.6
2076,CHEMBL345109,CN(C)CCCNC(=O)\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.36
2077,CHEMBL299622,CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,7.52
2078,CHEMBL61119,CC(=O)Oc1ccc2c(c1)c(C(=O)Nc3ccccc3)c(SSc4c(C(=O)Nc5ccccc5)c6cc(OC(=O)C)ccc6n4C)n2C,5.28
2079,CHEMBL434828,Brc1cccc(Nc2ncnc3cnc(NC(=O)\C=C\c4ccccc4)cc23)c1,7.11
2081,CHEMBL524457,Nc1ncnc(Nc2ccc3c(cnn3Cc4cccc(F)c4)c2)c1\C=N\N5CCCCC5,7.52
2082,CHEMBL450396,Fc1cccc(COc2ccc(Nc3ncnc4cc(C#C[C@H]5C[C@H](CN5)OC(=O)N6CCOCC6)sc34)cc2Cl)c1,7.3
2083,CHEMBL188304,Cc1ccn2ncnc(Nc3ccc(F)c(Cl)c3)c12,7.0
2084,CHEMBL246073,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@H]6CCCNC6)c45)ccc23)c1,6.72
2085,CHEMBL267019,Oc1ccc(Nc2cc3C(=O)NC(=O)c3cc2Nc4ccc(O)cc4)cc1,5.6
2086,CHEMBL293261,O=C(CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)NCc4ccccc4)[nH]c5ccccc15)NCc6ccccc6,6.07
2087,CHEMBL292323,COc1cccc2c(C(=O)Nc3ccccc3)c(SSc4c(C(=O)Nc5ccccc5)c6cccc(OC)c6n4C)n(C)c12,5.19
2088,CHEMBL434827,CCN(CC)CCCNC(=O)\C=C\C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.68
2089,CHEMBL284326,CN1CCN(CCCOc2cc3ncnc(Nc4ccc(F)c(Cl)c4)c3nc2NC(=O)C=C)CC1,6.58
2090,CHEMBL344486,CCOC(=O)\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.19
2091,CHEMBL291979,Cn1c(SSc2c(C(=O)Nc3ccccc3)c4cc(ccc4n2C)C#N)c(C(=O)Nc5ccccc5)c6cc(ccc16)C#N,4.27
2092,CHEMBL119987,COc1cc(\C=C(/C#N)\C(=O)N)cc(CSc2ccccc2C(=O)O)c1O,6.15
2093,CHEMBL373882,CNc1ncnc(n1)c2cccnc2Oc3ccc(F)c(c3)C(=O)Nc4cc(ccc4N(C)CCCN(C)C)C(F)(F)F,4.6
2094,CHEMBL348146,CC(=O)OC(Cc1c(SSc2[nH]c3ccccc3c2CC(OC(=O)C)C(=O)NCc4ccccc4)[nH]c5ccccc15)C(=O)NCc6ccccc6,4.55
2095,CHEMBL2325096,Fc1ccc(cc1)C2=NN(C(C2)c3ccc4ccccc4c3)c5ccccc5,6.52
2097,CHEMBL39355,Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN5CCOCC5)cc23)c1,8.06
2098,CHEMBL460731,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,7.15
2099,CHEMBL460732,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(cc3)S(=O)(=O)c4ccccc4)c2c1,7.03
2101,CHEMBL124533,Nc1cc2ncnc(NCc3cccc(c3)C(F)(F)F)c2cn1,5.71
2102,CHEMBL275762,Fc1cc(Cl)c(Cl)cc1Nc2ncnc3ccc(NC(=O)CCl)cc23,10.15
2103,CHEMBL275762,Fc1cc(Cl)c(Cl)cc1Nc2ncnc3ccc(NC(=O)CCl)cc23,7.6
2104,CHEMBL275762,Fc1cc(Cl)c(Cl)cc1Nc2ncnc3ccc(NC(=O)CCl)cc23,7.82
2108,CHEMBL208292,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN4CCC[C@@H]4C(=O)N,7.6
2109,CHEMBL206783,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN4CCCC[C@@H]4C(=O)N,8.1
2110,CHEMBL3663927,CCc1nc(C(=O)N)c(Nc2ccc(OC)c(c2)N3CCN(C)CC3)nc1Oc4cccc(NC(=O)C=C)c4,8.85
2111,CHEMBL3663928,CCN1CCN(CC1)c2ccc(Nc3nc(Oc4cccc(NC(=O)C=C)c4)c(CC)nc3C(=O)N)cc2,9.18
2112,CHEMBL3678953,COc1ccc(Nc2nc3cnc(Nc4ccc(cc4)N5CCN(C)CC5)nc3n2C(C)C)cc1,7.52
2113,CHEMBL545315,Cl.Cl.Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl,8.77
2114,CHEMBL202421,CCCCN(CCCC)CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,7.77
2115,CHEMBL378144,Brc1cccc(Nc2ncnc3cnc(NC(=O)C#C)cc23)c1,9.22
2116,CHEMBL14952,CS(=O)(=O)CCNCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,6.98
2117,CHEMBL53311,Clc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,7.09
2118,CHEMBL207445,COCC[C@H](N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC)C(=O)N,8.0
2119,CHEMBL207235,CO[C@@H]1C[C@@H](N(Cc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C1)C(=O)N,8.0
2120,CHEMBL207815,COCCN1CC(C1)(N(C)Cc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C(=O)N,7.35
2121,CHEMBL143212,COc1cc(\C=C(/C#N)\C(=O)N)cc(CSc2cccc3ccccc23)c1O,5.77
2122,CHEMBL1907944,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@H]4CCCN(C)C4,6.82
2123,CHEMBL283088,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN4CCN(C)CC4,6.7
2124,CHEMBL67027,COc1ccc(\C=C(/C#N)\c2cccnc2)cc1OC,6.16
2125,CHEMBL3416620,C[C@@H](Nc1ncnc2sc(Br)cc12)c3cccs3,6.38
2126,CHEMBL3416619,Brc1cc2c(NCc3cccs3)ncnc2s1,5.86
2127,CHEMBL3416590,COc1ccccc1c2cc3c(N[C@@H](C)c4ccccc4)ncnc3s2,5.73
2128,CHEMBL3416605,OCC(Nc1ncnc2sc(Br)cc12)c3ccccc3,7.08
2129,CHEMBL346846,COc1ccc2c(c1)sc3c(Nc4cccc(Br)c4)ncnc23,7.1
2130,CHEMBL382822,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN4CCC[C@@H]4C(=O)N(C)C,6.35
2131,CHEMBL152984,Cn1c2ccccc2c3c(Nc4cccc(Br)c4)ncnc13,6.11
2133,CHEMBL598799,COc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1OCCCCCCC(=O)NO,8.04
2134,CHEMBL1202478,Cl.COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC\C=C\CN4CCCC4,7.05
2138,CHEMBL204223,COc1cc(OC)c2CNc3c(Nc4cccc(Br)c4)ncnc3Oc2c1,5.2
2139,CHEMBL598007,Brc1cccc(Nc2ncnc3ccc(NC(=O)[C@@H]4O[C@H]4CN5CCCCC5)cc23)c1,8.91
2140,CHEMBL2021576,OC(=O)[C@H]1O[C@@H]1C(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2,7.47
2141,CHEMBL596957,COc1cc2ncnc(NCc3ccc(Cl)c(F)c3)c2cc1OCCCCCCC(=O)NO,7.14
2142,CHEMBL596964,COc1cc2ncnc(NCc3ccc(F)cc3)c2cc1OCCCCCCC(=O)NO,6.57
2143,CHEMBL598407,COc1cc2ncnc(N[C@@H](C)c3ccc(Cl)cc3)c2cc1OCCCCCCC(=O)NO,6.21
2144,CHEMBL96627,COc1ccc2ncnc(Nc3cccc(Br)c3)c2c1OC,5.86
2145,CHEMBL51659,Brc1cccc(Nc2ncnc3cnc(NC(=O)C=C)cc23)c1,8.47
2146,CHEMBL517907,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3cccc(c3)C#C)c2c1,7.35
2147,CHEMBL206955,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN4CCC[C@@H]4C(=O)N,8.22
2148,CHEMBL113902,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\C,5.12
2149,CHEMBL1204305,Cl.COc1cc2ncnc(Nc3cccc(I)c3)c2cc1OC,8.19
2150,CHEMBL3671482,CC(=O)N1CCC(COc2cc3ncnc(Nc4c(F)cc(Br)cc4F)c3cc2NC(=O)C=C)CC1,7.89
2151,CHEMBL333045,CN(C)c1cccc(CNc2ncnc3cc(N)ncc23)c1,5.0
2152,CHEMBL3663924,CC(C)c1nc(C(=O)N)c(Nc2ccc(cc2)N3CCN(C)CC3)nc1Oc4cccc(NC(=O)C=C)c4,8.72
2153,CHEMBL4106341,Cc1[nH]c2ncnc(NC3CCCCC3)c2c1C,5.16
2154,CHEMBL3676338,CN(C)CC(=O)NCCOc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1NC(=O)C=C,6.03
2155,CHEMBL378370,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C4CCNC4=O,7.16
2156,CHEMBL380454,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN4CC[C@@H](C4)C(=O)N,6.82
2157,CHEMBL3663922,CCc1nc(C(=O)N)c(Nc2ccc(cc2)N3CCN(C)CC3)nc1Oc4cccc(NC(=O)\C=C\CN(C)C)c4,8.85
2158,CHEMBL3655350,CC(C)C(C)C\C=C\C(=O)N1CCc2c(C1)sc3ncnc(Nc4cc(O)cc(Cl)c4)c23,9.0
2159,CHEMBL3655354,CC(C)N(C)C\C=C\C(=O)N1CCc2c(C1)sc3ncc(C#N)c(Nc4ccc5c(cnn5Cc6cccc(F)c6)c4)c23,8.19
2160,CHEMBL122182,Oc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,7.4
2161,CHEMBL2385986,CCOc1ccc(cc1NC(=O)\C=C\CN(C)C)C(=O)Nc2ccc(OCc3ccccn3)c(Cl)c2,5.92
2162,CHEMBL2385985,CCOc1cc(N)c(cc1NC(=O)c2ccc(CN3CCN(C)CC3)cc2)C(=O)Nc4ccc(F)c(Cl)c4,6.1
2163,CHEMBL2385980,CCOc1cc(c(cc1NC(=O)c2ccc(CN3CCN(C)CC3)cc2)C(=O)Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)[N+](=O)[O-],5.26
2164,CHEMBL2385978,CCOc1cc(c(cc1NC(=O)\C=C\CN(C)C)C(=O)Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)[N+](=O)[O-],5.7
2165,CHEMBL2385968,CN(C)C\C=C\C(=O)Nc1ccc(cc1)c2cncc(C#N)c2Nc3ccc(OCc4cccc(F)c4)c(Cl)c3,6.18
2166,CHEMBL328245,CCCN(CCC)CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.21
2167,CHEMBL358092,COC(=O)c1ccc(cc1)c2ccc(cc2O)c3ccccc3,4.85
2168,CHEMBL300083,Nc1cc2ncnc(NCc3ccccc3)c2cn1,5.68
2169,CHEMBL272895,Brc1cccc(Nc2ncnc3ccncc23)c1NCCCCN4CCOCC4,8.26
2170,CHEMBL270713,CN(C)CCNc1c(Br)cccc1Nc2ncnc3ccncc23,7.34
2171,CHEMBL93784,COCC1CCCN1CC#CC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2,7.19
2172,CHEMBL1203934,Cl.COc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OC,6.21
2173,CHEMBL1203939,Cl.CCOc1cc2ncnc(Nc3ccccc3F)c2cc1OCC,6.85
2174,CHEMBL495979,Fc1cccc(COc2ccc(Nc3ncnc4cc(C#C[C@@H]5CCCN5)sc34)cc2Cl)c1,6.96
2175,CHEMBL495733,CS(=O)(=O)N1CCC[C@@H]1C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2,6.92
2176,CHEMBL533849,Cl.COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC4CCN(C)CC4,6.77
2177,CHEMBL342929,CNC(=O)c1c(SSc2c(C(=O)NC)c3ccccc3n2C)n(C)c4ccccc14,5.16
2178,CHEMBL2448065,Cl.COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC4CCN(C)CC4,7.0
2181,CHEMBL1203940,Cl.CCOc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OCC,7.8
2182,CHEMBL214627,COc1cc2CNc3c(Nc4ccc5ncsc5c4)nc(C)nc3Sc2cc1OC,4.82
2183,CHEMBL214744,COc1cc2CNc3c(Nc4ccc(F)c(Cl)c4)nc(C)nc3Sc2cc1OC,4.34
2184,CHEMBL1204262,Cl.CCOc1cc2ncnc(Nc3cccc(I)c3)c2cc1OCC,8.34
2185,CHEMBL2447950,Cl.CCOc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCC,9.42
2186,CHEMBL1204360,Cl.COc1cc2ncnc(Nc3ccccc3F)c2cc1OC,7.89
2187,CHEMBL1203940,Cl.CCOc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OCC,7.64
2188,CHEMBL1203937,Cl.CCOc1cc2ncnc(NCc3ccc(F)cc3)c2cc1OCC,8.18
2189,CHEMBL119977,Clc1cccc(Nc2[nH]cnc3nnc(c4ccccc4)c23)c1,7.52
2191,CHEMBL195204,CN1CCC(CC1)Oc2cccc3ncnc(Nc4ccc(OCc5cscn5)c(Cl)c4)c23,6.16
2192,CHEMBL194389,COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,6.36
2193,CHEMBL596755,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1S(=O)(=O)CCCCCCC(=O)NO,7.81
2194,CHEMBL1201179,O.Cc1ccc(cc1)S(=O)(=O)O.Cc2ccc(cc2)S(=O)(=O)O.CS(=O)(=O)CCNCc3oc(cc3)c4ccc5ncnc(Nc6ccc(OCc7cccc(F)c7)c(Cl)c6)c5c4,7.96
2195,CHEMBL473427,Fc1cccc(COc2ccc(Nc3ncnc4cc(sc34)c5cccs5)cc2Cl)c1,8.1
2197,CHEMBL589822,Fc1ccc(\C=N\NC2=NC(=O)CS2)cc1,5.66
2198,CHEMBL480348,CCNCc1ccc([nH]1)c2cc3c(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncnc3s2,6.92
2199,CHEMBL1257912,CC(=O)Nc1ccc2Nc3n[nH]cc3N=C(c4ccccc4Cl)c2c1,6.14
2200,CHEMBL308593,Cc1[nH]c2ncnc(Nc3cccc(Cl)c3)c2c1c4ccccc4,5.22
2201,CHEMBL114073,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\C(C)N4CCOCC4,4.97
2202,CHEMBL114490,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C,5.63
2203,CHEMBL113902,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\C,5.12
2204,CHEMBL355330,Nc1ncnc2c1c(cn2C3CCC3)c4cccc(O)c4,6.52
2205,CHEMBL184750,Cc1cc2c(Nc3ccc(C)c(O)c3)ncnn2c1,6.19
2206,CHEMBL186001,Cc1ccc(Nc2ncnn3cc(C)c(C)c23)cc1O,6.7
2207,CHEMBL257815,CO\N=C\c1c(N)ncnc1Nc2ccc(OCc3ccccc3)c(Cl)c2,7.8
2208,CHEMBL275762,Fc1cc(Cl)c(Cl)cc1Nc2ncnc3ccc(NC(=O)CCl)cc23,7.6
2209,CHEMBL402294,CCO\N=C\c1c(N)ncnc1Nc2ccc3c(cnn3Cc4cccc(F)c4)c2,8.3
2210,CHEMBL175933,COc1cc2ncc(C#N)c(Nc3ccc(Sc4ncccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C,6.39
2211,CHEMBL179052,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C(C)C)C(C)C,7.52
2212,CHEMBL368702,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)\C=C\CN5CCC5,7.58
2213,CHEMBL1242657,Nc1ncnc2c1c(nn2[C@H]3CCNC3)c4ccc(F)c(O)c4,5.06
2214,CHEMBL1241677,Nc1ncnc2c1c(nn2[C@@H]3CCNC3)c4ccc(Cl)c(O)c4,4.91
2215,CHEMBL377250,[O-][S+]1CCN(Cc2oc(cc2)c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(c5)C(F)(F)F)c4c3)CC1,7.05
2216,CHEMBL445572,CS(=O)(=O)CCN(Cc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)Cc6ccccc6,7.05
2217,CHEMBL311129,Cc1c([nH]c2ncnc(Nc3cccc(Cl)c3)c12)c4ccccc4,5.22
2218,CHEMBL57990,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN(C)C,7.31
2219,CHEMBL426124,COc1ccc2Oc3ncnc(Nc4ccc(F)c(Cl)c4)c3NCc2c1,6.05
2220,CHEMBL214419,CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(c5)C(F)(F)F)cc4)c3c2,7.04
2221,CHEMBL213818,CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)cc4)c3c2,7.62
