,mol_id,smiles,pIC50
17,CHEMBL1766533,CCN1CCN(CC1)c2cnc3cc(cc(NCc4cccc(c4)C#N)c3c2)C(F)(F)F,8.25
18,CHEMBL508403,Fc1cc(NC(=O)c2cccc(n2)c3ccccc3)ccc1Oc4ccnc5[nH]ccc45,6.33
19,CHEMBL453850,Fc1ccc(CN2C=CC=C(C(=O)Nc3ccc(Oc4ccnc5[nH]ccc45)c(F)c3)C2=O)cc1,8.09
21,CHEMBL518174,COc1ccc2c(Oc3ccc(NC(=O)C4=C(C)N(C[C@@H](C)O)N(C4=O)c5ccccc5)cc3F)ccnc2c1,7.62
22,CHEMBL1766534,CCN1CCN(CC1)c2cnc3cc(cc(NCc4cccc(O)c4)c3c2)C(F)(F)F,6.64
23,CHEMBL1766536,CN1CCN(CC1)c2cnc3cc(cc(NCc4cccc(F)c4)c3c2)C(F)(F)F,6.35
24,CHEMBL1834657,CCN1CCN(CC1)c2ccc(Nc3cc(ncn3)N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)cc2.OP(=O)(O)O,5.52
25,CHEMBL1760035,COc1cc(Nc2nccc(Nc3cnc4ccccc4c3)n2)cc(OC)c1OC,5.68
27,CHEMBL503016,CNC(=O)N1CCN(Cc2ccc(cc2)c3cc4nccc(Oc5ccc(NC(=O)N6CCN(C6=O)c7ccccc7)cc5F)c4s3)CC1,7.8
28,CHEMBL508395,CN(CCN1CCN(C)CC1)Cc2ccc(cc2)c3cc4nccc(Oc5ccc(NC(=O)N6CCN(C6=O)c7ccccc7)cc5F)c4s3,7.55
29,CHEMBL515858,CN1CCN(Cc2c(N)nccc2Oc3ccc(NC(=O)C4=CC=CN(C4=O)c5ccc(F)cc5)cc3F)CC1,8.23
30,CHEMBL518656,Nc1nccc(Oc2ccc(NC(=O)C3=CC=CN(C3=O)c4ccc(F)cc4)cc2F)c1C#CCO,8.57
31,CHEMBL1169793,Cl.CCN(CC)C(=O)N1CCC(CC1)n2cc(cn2)c3cnc(N)c(c3)c4oc5ccccc5n4,6.45
32,CHEMBL1097869,Nc1cc(Oc2ccc(Nc3ccncc3C(=O)Nc4ccc(F)cc4F)cc2F)ccn1,5.46
33,CHEMBL494979,COc1ccc2c(OCc3nnc4ccc(nn34)c5cc(F)c(F)c(F)c5)ccnc2c1,8.4
34,CHEMBL1098176,Nc1cc(Oc2ccc(Nc3ncc(Br)cc3C(=O)Nc4ccc(F)cc4F)cc2F)ccn1,7.89
35,CHEMBL1171941,Cl.CC(=O)N1CCC(CC1)n2cc(cn2)c3cnc(N)c(c3)c4oc5ccccc5n4,8.52
36,CHEMBL1170926,Cl.CCC(=O)N1CCC(CC1)n2cc(cn2)c3cnc(N)c(c3)c4oc5ccccc5n4,8.15
37,CHEMBL1171025,Cl.Nc1ncc(cc1c2oc3ccccc3n2)c4cnn(c4)C5CCN(CC5)C(=O)c6ccccc6,6.85
39,CHEMBL577369,COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(C4=O)c5ccccc5F)cc3F)c2cc1OC,6.43
40,CHEMBL574230,COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(C4=O)c5ccccc5)cn3)c2cc1OC,5.3
41,CHEMBL575566,Cl.Nc1ncc(nc1Oc2ccc3cc[nH]c3c2)c4ccc(cc4)C(=O)NCC5CCNCC5,5.48
42,CHEMBL582927,COc1cc2c(Oc3ccc(NC(=O)N4CCN(C4=O)c5ccccc5)cc3F)ccnc2cc1OCC6CCNCC6,7.4
43,CHEMBL573974,COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(C4=O)c5ccccc5)cc3)c2cc1OC,7.3
44,CHEMBL575698,COc1ccccc1N2CCN(C(=O)Nc3ccc(Oc4ccnc5cc(OC)c(OC)cc45)c(F)c3)C2=O,6.82
45,CHEMBL575698,COc1ccccc1N2CCN(C(=O)Nc3ccc(Oc4ccnc5cc(OC)c(OC)cc45)c(F)c3)C2=O,7.3
46,CHEMBL566083,Cl.Nc1ncc(nc1Oc2ccc3cc[nH]c3c2)c4ccc(cc4)C(=O)NC5CCNCC5,5.26
47,CHEMBL573761,COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(C4=O)c5ccccc5)cc3F)c2cc1OC,7.05
48,CHEMBL551458,CN1CCN(CC1)c2ccc(cn2)c3cnc4ccn(c4c3)S(=O)(=O)c5cccc6nonc56,7.82
49,CHEMBL561864,[O-][N+](=O)c1ccccc1S(=O)(=O)n2ccc3ncc(cc23)N4CCNCC4,7.7
50,CHEMBL370808,COc1ccc(cc1c2[nH]nc3nc(Nc4ccc(F)cc4F)ncc23)C#CC(C)(C)N,5.82
